( , 'items', FY 2017, FY 2018, FY 2019, FY 2020),
( 3, 'Assets',0,0,0,0),
( 4, 'Cash and cash equivalents ', 1850, 2544, 1871, 2352),
( 5, 'Trade receivables1) ', 4679, 5405, 5097, 4205),
( 6, 'Other current financial assets ', 588, 454, 730, 529),
( 7, 'Contract assets ', 4293, 4593, 5230, 4805),
( 8, 'Receivables from Siemens Group ', 6324, 5138, 3402, 3894),
( 9, 'Inventories ', 7350, 6607, 7148, 7250),
( 10, 'Current income tax assets ', 462, 431, 329, 432),
( 11, 'Other current assets ', 776, 833, 1093, 1023),
( 12, 'Assets classified as held for disposal ', 147, 0, 16, 0),
( 13, 'Total current assets ', 26470, 26006, 24917, 24491),
( 14, 'Goodwill ', 9541, 9462, 9815, 9593),
( 15, 'Other intangible assets ', 5449, 4967, 4743, 4016),
( 16, 'Property, plant and equipment ', 3178, 3085, 3275, 4790),
( 17, 'Investments accounted for using the equity method ', 933, 784, 818, 762),
( 18, 'Other financial assets ', 523, 427, 437, 502),
( 19, 'Other receivables from Siemens Group ', 0, 3, 3, 0),
( 20, 'Deferred tax assets ', 833, 686, 742, 1052),
( 21, 'Other assets ', 365, 342, 291, 217),
( 22, 'Total non-current assets ', 20821, 19757, 20124, 20933),
( 23, 'Total assets ', 47290, 45763, 45041, 45424),
( 24, '',0,0,0,0),
( 25, 'Liabilities and equity',0,0,0,0),
( 26, 'Short-term debt and current maturities of long-term debt', 819, 1000, 359, 787),
( 27, 'Trade payables ', 4175, 4303, 4698, 4595),
( 28, 'Other current financial liabilities ', 287, 375, 614, 483),
( 29, 'Payables to Siemens Group', 2624, 3958, 2960, 979),
( 30, 'Contract liabilities ', 8351, 8077, 9337, 10417),
( 31, 'Current provisions ', 2246, 2089, 1872, 1678),
( 32, 'Current income tax liabilities ', 583, 373, 372, 489),
( 33, 'Other current liabilities ', 3085, 3244, 3267, 3004),
( 34, 'Liabilities associated with assets classified held for disposal', 50, 0, 8, 0),
( 35, 'Total current liabilities ', 22221, 23418, 23487, 22432),
( 36, 'Long-term debt ', 505, 877, 547, 1690),
( 37, 'Provisions for pensions and similar obligations ', 1692, 1622, 1960, 1095),
( 38, 'Deferred tax liabilities ', 1904, 1195, 1102, 586),
( 39, 'Provisions ', 2664, 2400, 2072, 2158),
( 40, 'Other financial liabilities ', 418, 359, 447, 543),
( 41, 'Other liabilities ', 612, 615, 729, 669),
( 42, 'Other liabilities to Siemens Group ', 5957, 4576, 1608, 0),
( 43, 'Total non-current liabilities ', 13752, 11644, 8465, 6741),
( 44, 'Total liabilities ', 35973, 35062, 31952, 29173),
( 45, 'Total equity ', 11318, 10701, 13089, 16250),
( 46, 'Total liabilities and equity', 47290, 45763, 45041, 45424),
