(S&P/ASX 200 Index (1 April 2017), , , , , , , ), 
('Code', Date, 'Company', 'Sector', Market Cap, Weight(%), Null_Cl, Total Index Market Cap), 
"('A2M', '2016-4-1', 'The A2 Milk Company Limited NZ', 'Consumer Staples', 1964410000, 0.12, ""Null"", 26196187), "
"('AAC', '2016-4-1', 'Australian Agricultural Company Limited', 'Consumer Staples', 927459000, 0.06, ""Null"", 33986772), "
"('AAD', '2016-4-1', 'Ardent Leisure Group Stapled', 'Consumer Discretionary', 858443000, 0.05, ""Null"", 15775360), "
"('ABC', '2016-4-1', 'Adelaide Brighton Limited', 'Materials', 3690040000, 0.22, ""Null"", 22283791), "
"('ABP', '2016-4-1', 'Abacus Property Group Stapled', 'Real Estate', 1864850000, 0.11, ""Null"", 22339859), "
"('ACX', '2016-4-1', 'Aconex Limited', 'Information Technology', 779031000, 0.05, ""Null"", 15359144), "
"('AGL', '2016-4-1', 'AGL Energy Limited', 'Utilities', 17651200000, 1.06, ""Null"", 18306588), "
"('AHG', '2016-4-1', 'Automotive Holdings Group Limited', 'Consumer Discretionary', 1366290000, 0.08, ""Null"", 29832105), "
"('AHY', '2016-4-1', 'Asaleo Care Limited', 'Consumer Staples', 965307000, 0.06, ""Null"", 18414473), "
"('ALL', '2016-4-1', 'Aristocrat Leisure Limited', 'Consumer Discretionary', 11474600000, 0.69, ""Null"", 29185453), "
"('ALQ', '2016-4-1', 'Als Limited', 'Industrials', 3095920000, 0.19, ""Null"", 30638213), "
"('ALU', '2016-4-1', 'Altium Limited', 'Information Technology', 989640000, 0.06, ""Null"", 17366687), "
"('AMC', '2016-4-1', 'Amcor Limited', 'Materials', 17441600000, 1.05, ""Null"", 19688815), "
"('AMP', '2016-4-1', 'AMP Limited', 'Financials', 15321100000, 0.92, ""Null"", 33855664), "
"('ANN', '2016-4-1', 'Ansell Limited', 'Health Care', 3551570000, 0.21, ""Null"", 27701216), "
"('ANZ', '2016-4-1', 'Australia And New Zealand Banking Group Limited', 'Financials', 93424700000, 5.6, ""Null"", 17612164), "
"('AOG', '2016-4-1', 'Aveo Group Stapled', 'Real Estate', 1866090000, 0.11, ""Null"", 26860334), "
"('APA', '2016-4-1', 'APA Group Stapled', 'Utilities', 9984190000, 0.6, ""Null"", 30037727), "
"('API', '2016-4-1', 'Australian Pharmaceutical Industries Limited', 'Health Care', 999193000, 0.06, ""Null"", 29784239), "
"('APN', '2016-4-1', 'APN News & Media Limited', 'Consumer Discretionary', 854834000, 0.05, ""Null"", 16562953), "
"('APO', '2016-4-1', 'Apn Outdoor Group Limited', 'Consumer Discretionary', 949703000, 0.06, ""Null"", 27315482), "
"('ARB', '2016-4-1', 'ARB Corporation Limited', 'Consumer Discretionary', 1165590000, 0.07, ""Null"", 16137397), "
"('AST', '2016-4-1', 'Ausnet Services Limited', 'Utilities', 6071320000, 0.36, ""Null"", 19931265), "
"('ASX', '2016-4-1', 'ASX Limited', 'Financials', 9772680000, 0.59, ""Null"", 14354150), "
"('AWC', '2016-4-1', 'Alumina Limited', 'Materials', 5154920000, 0.31, ""Null"", 24803538), "
"('AZJ', '2016-4-1', 'Aurizon Holdings Limited', 'Industrials', 10771700000, 0.65, ""Null"", 25401672), "
"('BAL', '2016-4-1', 'Bellamys Australia Limited', 'Consumer Staples', 406083000, 0.02, ""Null"", 30918079), "
"('BAP', '2016-4-2', 'Bapcor Limited', 'Consumer Discretionary', 1619670000, 0.1, ""Null"", 22878183), "
"('BEN', '2016-4-2', 'Bendigo And Adelaide Bank Limited', 'Financials', 5738350000, 0.34, ""Null"", 30901815), "
"('BGA', '2016-4-2', 'Bega Cheese Limited', 'Consumer Staples', 965977000, 0.06, ""Null"", 22693059), "
"('BHP', '2016-4-2', 'BHP Billiton Limited', 'Materials', 77209100000, 4.63, ""Null"", 23921450), "
"('BKL', '2016-4-2', 'Blackmores Limited', 'Consumer Staples', 1938590000, 0.12, ""Null"", 15424857), "
"('BKW', '2016-4-2', 'Brickworks Limited', 'Materials', 2188870000, 0.13, ""Null"", 31947069), "
"('BLD', '2016-4-2', 'Boral Limited', 'Materials', 6846420000, 0.41, ""Null"", 17086118), "
"('BOQ', '2016-4-2', 'Bank of Queensland Limited', 'Financials', 4709870000, 0.28, ""Null"", 20961776), "
"('BPT', '2016-4-2', 'Beach Energy Limited', 'Energy', 1492080000, 0.09, ""Null"", 23680218), "
"('BRG', '2016-4-2', 'Breville Group Limited', 'Consumer Discretionary', 1343880000, 0.08, ""Null"", 32708233), "
"('BSL', '2016-4-2', 'Bluescope Steel Limited', 'Materials', 7035930000, 0.42, ""Null"", 25397006), "
"('BTT', '2016-4-2', 'BT Investment Management Limited', 'Financials', 3132890000, 0.19, ""Null"", 27791735), "
"('BWP', '2016-4-2', 'BWP Trust Ord Units', 'Real Estate', 1830790000, 0.11, ""Null"", 28287407), "
"('BXB', '2016-4-2', 'Brambles Limited', 'Industrials', 14853800000, 0.89, ""Null"", 14637229), "
"('CAR', '2016-4-2', 'Carsales.com Limited', 'Information Technology', 2694300000, 0.16, ""Null"", 14441056), "
"('CBA', '2016-4-2', 'Commonwealth Bank of Australia', 'Financials', 148038000000, 8.88, ""Null"", 23062784), "
"('CCL', '2016-4-2', 'Coca-cola Amatil Limited', 'Consumer Staples', 8262050000, 0.5, ""Null"", 21465439), "
"('CCP', '2016-4-2', 'Credit Corp Group Limited', 'Financials', 818742000, 0.05, ""Null"", 33352828), "
"('CGC', '2016-4-2', 'Costa Group Holdings Limited', 'Consumer Staples', 1388870000, 0.08, ""Null"", 18834661), "
"('CGF', '2016-4-2', 'Challenger Limited', 'Financials', 7178620000, 0.43, ""Null"", 31693741), "
"('CHC', '2016-4-2', 'Charter Hall Group Forus', 'Real Estate', 2278200000, 0.14, ""Null"", 21210061), "
"('CIM', '2016-4-2', 'Cimic Group Limited', 'Industrials', 11650500000, 0.7, ""Null"", 29034169), "
"('CMW', '2016-4-2', 'Cromwell Property Group Stapled', 'Real Estate', 1681620000, 0.1, ""Null"", 27947028), "
"('COH', '2016-4-3', 'Cochlear Limited', 'Health Care', 7765810000, 0.47, ""Null"", 17622523), "
"('CPU', '2016-4-3', 'Computershare Limited', 'Information Technology', 7681340000, 0.46, ""Null"", 29499353), "
