Code,Date,Company,Sector,Market_Cap,Weight_Percentage,Null_Cl,Total_Index_Market_Cap,MC_Strength
A2M,2016-04-01,"The A2 Milk Company Limited NZ","Consumer Staples",1964410000,0.12,Null,26196187,Good
AAC,2016-04-01,"Australian Agricultural Company Limited","Consumer Staples",927459000,0.06,Null,33986772,Weak
AAD,2016-04-01,"Ardent Leisure Group Stapled","Consumer Discretionary",858443000,0.05,Null,15775360,Weak
ABC,2016-04-01,"Adelaide Brighton Limited",Materials,3690040000,0.22,Null,22283791,Strong
ABP,2016-04-01,"Abacus Property Group Stapled","Real Estate",1864850000,0.11,Null,22339859,Good
ACX,2016-04-01,"Aconex Limited","Information Technology",779031000,0.05,Null,15359144,Weak
AGL,2016-04-01,"AGL Energy Limited",Utilities,17651200000,1.06,Null,18306588,"Very Strong"
AHG,2016-04-01,"Automotive Holdings Group Limited","Consumer Discretionary",1366290000,0.08,Null,29832105,Good
AHY,2016-04-01,"Asaleo Care Limited","Consumer Staples",965307000,0.06,Null,18414473,Weak
ALL,2016-04-01,"Aristocrat Leisure Limited","Consumer Discretionary",11474600000,0.69,Null,29185453,"Very Strong"
ALQ,2016-04-01,"Als Limited",Industrials,3095920000,0.19,Null,30638213,Strong
ALU,2016-04-01,"Altium Limited","Information Technology",989640000,0.06,Null,17366687,Weak
AMC,2016-04-01,"Amcor Limited",Materials,17441600000,1.05,Null,19688815,"Very Strong"
AMP,2016-04-01,"AMP Limited",Financials,15321100000,0.92,Null,33855664,"Very Strong"
ANN,2016-04-01,"Ansell Limited","Health Care",3551570000,0.21,Null,27701216,Strong
ANZ,2016-04-01,"Australia And New Zealand Banking Group Limited",Financials,93424700000,5.6,Null,17612164,"Very Strong"
AOG,2016-04-01,"Aveo Group Stapled","Real Estate",1866090000,0.11,Null,26860334,Good
APA,2016-04-01,"APA Group Stapled",Utilities,9984190000,0.6,Null,30037727,"Very Strong"
API,2016-04-01,"Australian Pharmaceutical Industries Limited","Health Care",999193000,0.06,Null,29784239,Weak
APN,2016-04-01,"APN News & Media Limited","Consumer Discretionary",854834000,0.05,Null,16562953,Weak
APO,2016-04-01,"Apn Outdoor Group Limited","Consumer Discretionary",949703000,0.06,Null,27315482,Weak
ARB,2016-04-01,"ARB Corporation Limited","Consumer Discretionary",1165590000,0.07,Null,16137397,Good
AST,2016-04-01,"Ausnet Services Limited",Utilities,6071320000,0.36,Null,19931265,"Very Strong"
ASX,2016-04-01,"ASX Limited",Financials,9772680000,0.59,Null,14354150,"Very Strong"
AWC,2016-04-01,"Alumina Limited",Materials,5154920000,0.31,Null,24803538,"Very Strong"
AZJ,2016-04-01,"Aurizon Holdings Limited",Industrials,10771700000,0.65,Null,25401672,"Very Strong"
BAL,2016-04-01,"Bellamys Australia Limited","Consumer Staples",406083000,0.02,Null,30918079,"Very Weak"
BAP,2016-04-02,"Bapcor Limited","Consumer Discretionary",1619670000,0.1,Null,22878183,Good
BEN,2016-04-02,"Bendigo And Adelaide Bank Limited",Financials,5738350000,0.34,Null,30901815,"Very Strong"
BGA,2016-04-02,"Bega Cheese Limited","Consumer Staples",965977000,0.06,Null,22693059,Weak
BHP,2016-04-02,"BHP Billiton Limited",Materials,77209100000,4.63,Null,23921450,"Very Strong"
BKL,2016-04-02,"Blackmores Limited","Consumer Staples",1938590000,0.12,Null,15424857,Good
BKW,2016-04-02,"Brickworks Limited",Materials,2188870000,0.13,Null,31947069,Strong
BLD,2016-04-02,"Boral Limited",Materials,6846420000,0.41,Null,17086118,"Very Strong"
BOQ,2016-04-02,"Bank of Queensland Limited",Financials,4709870000,0.28,Null,20961776,Strong
BPT,2016-04-02,"Beach Energy Limited",Energy,1492080000,0.09,Null,23680218,Good
BRG,2016-04-02,"Breville Group Limited","Consumer Discretionary",1343880000,0.08,Null,32708233,Good
BSL,2016-04-02,"Bluescope Steel Limited",Materials,7035930000,0.42,Null,25397006,"Very Strong"
BTT,2016-04-02,"BT Investment Management Limited",Financials,3132890000,0.19,Null,27791735,Strong
BWP,2016-04-02,"BWP Trust Ord Units","Real Estate",1830790000,0.11,Null,28287407,Good
BXB,2016-04-02,"Brambles Limited",Industrials,14853800000,0.89,Null,14637229,"Very Strong"
CAR,2016-04-02,"Carsales.com Limited","Information Technology",2694300000,0.16,Null,14441056,Strong
CBA,2016-04-02,"Commonwealth Bank of Australia",Financials,148038000000,8.88,Null,23062784,"Very Strong"
CCL,2016-04-02,"Coca-cola Amatil Limited","Consumer Staples",8262050000,0.5,Null,21465439,"Very Strong"
CCP,2016-04-02,"Credit Corp Group Limited",Financials,818742000,0.05,Null,33352828,Weak
CGC,2016-04-02,"Costa Group Holdings Limited","Consumer Staples",1388870000,0.08,Null,18834661,Good
CGF,2016-04-02,"Challenger Limited",Financials,7178620000,0.43,Null,31693741,"Very Strong"
CHC,2016-04-02,"Charter Hall Group Forus","Real Estate",2278200000,0.14,Null,21210061,Strong
