Code,Date,Company,Sector,Market_Cap,Weight_Percentage,Null_Cl,Total_Index_Market_Cap,WP_Strength
A2M,2016-04-01,"The A2 Milk Company Limited NZ","Consumer Staples",1964410000,0.12,Null,26196187,"Very Weak"
AAC,2016-04-01,"Australian Agricultural Company Limited","Consumer Staples",927459000,0.06,Null,33986772,"Very Weak"
AAD,2016-04-01,"Ardent Leisure Group Stapled","Consumer Discretionary",858443000,0.05,Null,15775360,"Very Weak"
ABC,2016-04-01,"Adelaide Brighton Limited",Materials,3690040000,0.22,Null,22283791,"Very Weak"
ABP,2016-04-01,"Abacus Property Group Stapled","Real Estate",1864850000,0.11,Null,22339859,"Very Weak"
ACX,2016-04-01,"Aconex Limited","Information Technology",779031000,0.05,Null,15359144,"Very Weak"
AGL,2016-04-01,"AGL Energy Limited",Utilities,17651200000,1.06,Null,18306588,Good
AHG,2016-04-01,"Automotive Holdings Group Limited","Consumer Discretionary",1366290000,0.08,Null,29832105,"Very Weak"
AHY,2016-04-01,"Asaleo Care Limited","Consumer Staples",965307000,0.06,Null,18414473,"Very Weak"
ALL,2016-04-01,"Aristocrat Leisure Limited","Consumer Discretionary",11474600000,0.69,Null,29185453,Weak
ALQ,2016-04-01,"Als Limited",Industrials,3095920000,0.19,Null,30638213,"Very Weak"
ALU,2016-04-01,"Altium Limited","Information Technology",989640000,0.06,Null,17366687,"Very Weak"
AMC,2016-04-01,"Amcor Limited",Materials,17441600000,1.05,Null,19688815,Good
AMP,2016-04-01,"AMP Limited",Financials,15321100000,0.92,Null,33855664,Weak
ANN,2016-04-01,"Ansell Limited","Health Care",3551570000,0.21,Null,27701216,"Very Weak"
ANZ,2016-04-01,"Australia And New Zealand Banking Group Limited",Financials,93424700000,5.6,Null,17612164,Strong
AOG,2016-04-01,"Aveo Group Stapled","Real Estate",1866090000,0.11,Null,26860334,"Very Weak"
APA,2016-04-01,"APA Group Stapled",Utilities,9984190000,0.6,Null,30037727,Weak
API,2016-04-01,"Australian Pharmaceutical Industries Limited","Health Care",999193000,0.06,Null,29784239,"Very Weak"
APN,2016-04-01,"APN News & Media Limited","Consumer Discretionary",854834000,0.05,Null,16562953,"Very Weak"
APO,2016-04-01,"Apn Outdoor Group Limited","Consumer Discretionary",949703000,0.06,Null,27315482,"Very Weak"
ARB,2016-04-01,"ARB Corporation Limited","Consumer Discretionary",1165590000,0.07,Null,16137397,"Very Weak"
AST,2016-04-01,"Ausnet Services Limited",Utilities,6071320000,0.36,Null,19931265,"Very Weak"
ASX,2016-04-01,"ASX Limited",Financials,9772680000,0.59,Null,14354150,Weak
AWC,2016-04-01,"Alumina Limited",Materials,5154920000,0.31,Null,24803538,"Very Weak"
AZJ,2016-04-01,"Aurizon Holdings Limited",Industrials,10771700000,0.65,Null,25401672,Weak
BAL,2016-04-01,"Bellamys Australia Limited","Consumer Staples",406083000,0.02,Null,30918079,"Very Weak"
BAP,2016-04-02,"Bapcor Limited","Consumer Discretionary",1619670000,0.1,Null,22878183,"Very Weak"
BEN,2016-04-02,"Bendigo And Adelaide Bank Limited",Financials,5738350000,0.34,Null,30901815,"Very Weak"
BGA,2016-04-02,"Bega Cheese Limited","Consumer Staples",965977000,0.06,Null,22693059,"Very Weak"
BHP,2016-04-02,"BHP Billiton Limited",Materials,77209100000,4.63,Null,23921450,Strong
BKL,2016-04-02,"Blackmores Limited","Consumer Staples",1938590000,0.12,Null,15424857,"Very Weak"
BKW,2016-04-02,"Brickworks Limited",Materials,2188870000,0.13,Null,31947069,"Very Weak"
BLD,2016-04-02,"Boral Limited",Materials,6846420000,0.41,Null,17086118,"Very Weak"
BOQ,2016-04-02,"Bank of Queensland Limited",Financials,4709870000,0.28,Null,20961776,"Very Weak"
BPT,2016-04-02,"Beach Energy Limited",Energy,1492080000,0.09,Null,23680218,"Very Weak"
BRG,2016-04-02,"Breville Group Limited","Consumer Discretionary",1343880000,0.08,Null,32708233,"Very Weak"
BSL,2016-04-02,"Bluescope Steel Limited",Materials,7035930000,0.42,Null,25397006,"Very Weak"
BTT,2016-04-02,"BT Investment Management Limited",Financials,3132890000,0.19,Null,27791735,"Very Weak"
BWP,2016-04-02,"BWP Trust Ord Units","Real Estate",1830790000,0.11,Null,28287407,"Very Weak"
BXB,2016-04-02,"Brambles Limited",Industrials,14853800000,0.89,Null,14637229,Weak
CAR,2016-04-02,"Carsales.com Limited","Information Technology",2694300000,0.16,Null,14441056,"Very Weak"
